uf,nome_uf,nome_regiao_geografica_intermediaria,nome_regiao_geografica_imediata,nome_mesorregiao,nome_microrregiao,codigo_municipio_completo,nome_municipio,fk_municipio,sem_acentos_municipio,fk_sem_acentos_municipio
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Cacoal,1100015,ALTA FLORESTA D'OESTE,ALTA FLORESTA D'OESTE-RO,ALTA FLORESTA D'OESTE,ALTA FLORESTA D'OESTE-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Cacoal,1100379,ALTO ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS-RO,ALTO ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS-RO
RO,Rondônia,Porto Velho,Ariquemes,Leste Rondoniense,Ariquemes,1100403,ALTO PARAÍSO,ALTO PARAÍSO-RO,ALTO PARAISO,ALTO PARAISO-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Alvorada D'Oeste,1100346,ALVORADA D'OESTE,ALVORADA D'OESTE-RO,ALVORADA D'OESTE,ALVORADA D'OESTE-RO
RO,Rondônia,Porto Velho,Ariquemes,Leste Rondoniense,Ariquemes,1100023,ARIQUEMES,ARIQUEMES-RO,ARIQUEMES,ARIQUEMES-RO
RO,Rondônia,Porto Velho,Ariquemes,Madeira-Guaporé,Porto Velho,1100452,BURITIS,BURITIS-RO,BURITIS,BURITIS-RO
RO,Rondônia,Ji-Paraná,Vilhena,Leste Rondoniense,Colorado do Oeste,1100031,CABIXI,CABIXI-RO,CABIXI,CABIXI-RO
RO,Rondônia,Porto Velho,Ariquemes,Leste Rondoniense,Ariquemes,1100601,CACAULÂNDIA,CACAULÂNDIA-RO,CACAULANDIA,CACAULANDIA-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Cacoal,1100049,CACOAL,CACOAL-RO,CACOAL,CACOAL-RO
RO,Rondônia,Porto Velho,Ariquemes,Madeira-Guaporé,Porto Velho,1100700,CAMPO NOVO DE RONDÔNIA,CAMPO NOVO DE RONDÔNIA-RO,CAMPO NOVO DE RONDONIA,CAMPO NOVO DE RONDONIA-RO
RO,Rondônia,Porto Velho,Porto Velho,Madeira-Guaporé,Porto Velho,1100809,CANDEIAS DO JAMARI,CANDEIAS DO JAMARI-RO,CANDEIAS DO JAMARI,CANDEIAS DO JAMARI-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Cacoal,1100908,CASTANHEIRAS,CASTANHEIRAS-RO,CASTANHEIRAS,CASTANHEIRAS-RO
RO,Rondônia,Ji-Paraná,Vilhena,Leste Rondoniense,Colorado do Oeste,1100056,CEREJEIRAS,CEREJEIRAS-RO,CEREJEIRAS,CEREJEIRAS-RO
RO,Rondônia,Ji-Paraná,Vilhena,Leste Rondoniense,Vilhena,1100924,CHUPINGUAIA,CHUPINGUAIA-RO,CHUPINGUAIA,CHUPINGUAIA-RO
RO,Rondônia,Ji-Paraná,Vilhena,Leste Rondoniense,Colorado do Oeste,1100064,COLORADO DO OESTE,COLORADO DO OESTE-RO,COLORADO DO OESTE,COLORADO DO OESTE-RO
RO,Rondônia,Ji-Paraná,Vilhena,Leste Rondoniense,Colorado do Oeste,1100072,CORUMBIARA,CORUMBIARA-RO,CORUMBIARA,CORUMBIARA-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Madeira-Guaporé,Guajará-Mirim,1100080,COSTA MARQUES,COSTA MARQUES-RO,COSTA MARQUES,COSTA MARQUES-RO
RO,Rondônia,Porto Velho,Ariquemes,Madeira-Guaporé,Porto Velho,1100940,CUJUBIM,CUJUBIM-RO,CUJUBIM,CUJUBIM-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Cacoal,1100098,ESPIGÃO D'OESTE,ESPIGÃO D'OESTE-RO,ESPIGAO D'OESTE,ESPIGAO D'OESTE-RO
RO,Rondônia,Porto Velho,Jaru,Leste Rondoniense,Ji-Paraná,1101005,GOVERNADOR JORGE TEIXEIRA,GOVERNADOR JORGE TEIXEIRA-RO,GOVERNADOR JORGE TEIXEIRA,GOVERNADOR JORGE TEIXEIRA-RO
RO,Rondônia,Porto Velho,Porto Velho,Madeira-Guaporé,Guajará-Mirim,1100106,GUAJARÁ-MIRIM,GUAJARÁ-MIRIM-RO,GUAJARA-MIRIM,GUAJARA-MIRIM-RO
RO,Rondônia,Porto Velho,Porto Velho,Madeira-Guaporé,Porto Velho,1101104,ITAPUÃ DO OESTE,ITAPUÃ DO OESTE-RO,ITAPUA DO OESTE,ITAPUA DO OESTE-RO
RO,Rondônia,Porto Velho,Jaru,Leste Rondoniense,Ji-Paraná,1100114,JARU,JARU-RO,JARU,JARU-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Ji-Paraná,1100122,JI-PARANÁ,JI-PARANÁ-RO,JI-PARANA,JI-PARANA-RO
RO,Rondônia,Porto Velho,Jaru,Leste Rondoniense,Ariquemes,1100130,MACHADINHO D'OESTE,MACHADINHO D'OESTE-RO,MACHADINHO D'OESTE,MACHADINHO D'OESTE-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Cacoal,1101203,MINISTRO ANDREAZZA,MINISTRO ANDREAZZA-RO,MINISTRO ANDREAZZA,MINISTRO ANDREAZZA-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Ji-Paraná,1101302,MIRANTE DA SERRA,MIRANTE DA SERRA-RO,MIRANTE DA SERRA,MIRANTE DA SERRA-RO
RO,Rondônia,Porto Velho,Ariquemes,Leste Rondoniense,Ariquemes,1101401,MONTE NEGRO,MONTE NEGRO-RO,MONTE NEGRO,MONTE NEGRO-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Alvorada D'Oeste,1100148,NOVA BRASILÂNDIA D'OESTE,NOVA BRASILÂNDIA D'OESTE-RO,NOVA BRASILANDIA D'OESTE,NOVA BRASILANDIA D'OESTE-RO
RO,Rondônia,Porto Velho,Porto Velho,Madeira-Guaporé,Porto Velho,1100338,NOVA MAMORÉ,NOVA MAMORÉ-RO,NOVA MAMORE,NOVA MAMORE-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Ji-Paraná,1101435,NOVA UNIÃO,NOVA UNIÃO-RO,NOVA UNIAO,NOVA UNIAO-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Cacoal,1100502,NOVO HORIZONTE DO OESTE,NOVO HORIZONTE DO OESTE-RO,NOVO HORIZONTE DO OESTE,NOVO HORIZONTE DO OESTE-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Ji-Paraná,1100155,OURO PRETO DO OESTE,OURO PRETO DO OESTE-RO,OURO PRETO DO OESTE,OURO PRETO DO OESTE-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Vilhena,1101450,PARECIS,PARECIS-RO,PARECIS,PARECIS-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Vilhena,1100189,PIMENTA BUENO,PIMENTA BUENO-RO,PIMENTA BUENO,PIMENTA BUENO-RO
RO,Rondônia,Ji-Paraná,Vilhena,Leste Rondoniense,Colorado do Oeste,1101468,PIMENTEIRAS DO OESTE,PIMENTEIRAS DO OESTE-RO,PIMENTEIRAS DO OESTE,PIMENTEIRAS DO OESTE-RO
RO,Rondônia,Porto Velho,Porto Velho,Madeira-Guaporé,Porto Velho,1100205,PORTO VELHO,PORTO VELHO-RO,PORTO VELHO,PORTO VELHO-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Ji-Paraná,1100254,PRESIDENTE MÉDICI,PRESIDENTE MÉDICI-RO,PRESIDENTE MEDICI,PRESIDENTE MEDICI-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Vilhena,1101476,PRIMAVERA DE RONDÔNIA,PRIMAVERA DE RONDÔNIA-RO,PRIMAVERA DE RONDONIA,PRIMAVERA DE RONDONIA-RO
RO,Rondônia,Porto Velho,Ariquemes,Leste Rondoniense,Ariquemes,1100262,RIO CRESPO,RIO CRESPO-RO,RIO CRESPO,RIO CRESPO-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Cacoal,1100288,ROLIM DE MOURA,ROLIM DE MOURA-RO,ROLIM DE MOURA,ROLIM DE MOURA-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Cacoal,1100296,SANTA LUZIA D'OESTE,SANTA LUZIA D'OESTE-RO,SANTA LUZIA D'OESTE,SANTA LUZIA D'OESTE-RO
RO,Rondônia,Ji-Paraná,Cacoal,Leste Rondoniense,Vilhena,1101484,SÃO FELIPE D'OESTE,SÃO FELIPE D'OESTE-RO,SAO FELIPE D'OESTE,SAO FELIPE D'OESTE-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Madeira-Guaporé,Guajará-Mirim,1101492,SÃO FRANCISCO DO GUAPORÉ,SÃO FRANCISCO DO GUAPORÉ-RO,SAO FRANCISCO DO GUAPORE,SAO FRANCISCO DO GUAPORE-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Alvorada D'Oeste,1100320,SÃO MIGUEL DO GUAPORÉ,SÃO MIGUEL DO GUAPORÉ-RO,SAO MIGUEL DO GUAPORE,SAO MIGUEL DO GUAPORE-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Alvorada D'Oeste,1101500,SERINGUEIRAS,SERINGUEIRAS-RO,SERINGUEIRAS,SERINGUEIRAS-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Ji-Paraná,1101559,TEIXEIRÓPOLIS,TEIXEIRÓPOLIS-RO,TEIXEIROPOLIS,TEIXEIROPOLIS-RO
RO,Rondônia,Porto Velho,Jaru,Leste Rondoniense,Ji-Paraná,1101609,THEOBROMA,THEOBROMA-RO,THEOBROMA,THEOBROMA-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Ji-Paraná,1101708,URUPÁ,URUPÁ-RO,URUPA,URUPA-RO
RO,Rondônia,Porto Velho,Jaru,Leste Rondoniense,Ariquemes,1101757,VALE DO ANARI,VALE DO ANARI-RO,VALE DO ANARI,VALE DO ANARI-RO
RO,Rondônia,Ji-Paraná,Ji-Paraná,Leste Rondoniense,Ji-Paraná,1101807,VALE DO PARAÍSO,VALE DO PARAÍSO-RO,VALE DO PARAISO,VALE DO PARAISO-RO
RO,Rondônia,Ji-Paraná,Vilhena,Leste Rondoniense,Vilhena,1100304,VILHENA,VILHENA-RO,VILHENA,VILHENA-RO
AC,Acre,Rio Branco,Rio Branco,Vale do Acre,Rio Branco,1200013,ACRELÂNDIA,ACRELÂNDIA-AC,ACRELANDIA,ACRELANDIA-AC
AC,Acre,Rio Branco,Brasiléia,Vale do Acre,Brasiléia,1200054,ASSIS BRASIL,ASSIS BRASIL-AC,ASSIS BRASIL,ASSIS BRASIL-AC
AC,Acre,Rio Branco,Brasiléia,Vale do Acre,Brasiléia,1200104,BRASILÉIA,BRASILÉIA-AC,BRASILEIA,BRASILEIA-AC
